Var_ID	0	1	2	3	4	5	6	7	8	9	
0;329;329;0:1	0.8054936896807721	0.8954512105649303	1.0	0.7920611798980335	0.8074185088047958	1.0	0.9023853211009174	0.8941176470588236	1.0	1.0	
0;796;796;0:1	0.1968	0.10485592315901815	0.0	0.20496397117694154	0.1938584779706275	0.0	0.09655908242197919	0.10515078729650387	0.0	0.0	
0;833;833;0:1	0.20240320427236316	0.2144571885836223	0.0952253934382502	0.096051227321238	0.0	0.09893333333333333	0.0	0.10176282051282051	0.0	0.0	
0;852;852;0:1	0.193324432576769	0.10616164310482795	0.0	0.19306666666666666	0.1923692636072572	0.0	0.100080064051241	0.0985576923076923	0.0	0.0	
0;1601;1601;0:1	0.21077908217716115	0.10133333333333333	0.0	0.20090715048025615	0.20907877169559413	0.0	0.1056997591651057	0.09546666666666667	0.0	0.0	
0;1785;1785;0:1	0.7996799146439051	0.904190018681612	1.0	0.8	0.8023006955591225	1.0	0.9	0.9030707610146862	1.0	1.0	
0;1870;1870;0:1	0.0	0.1936	0.0	0.19396206251669784	0.3058666666666667	0.0	0.10088070456365092	0.2929238985313752	0.1944	0.0	
0;1957;1957;0:1	0.30294608115619787	0.19131161236424393	0.09514563106796116	0.10102692200943658	0.0	0.10166204986149585	0.0	0.09474854126146151	0.0	0.0	
0;2070;2070;0:1	0.20576461168935148	0.1008	0.0	0.19738596959189117	0.1976	0.0	0.10298826040554962	0.0960256068284876	0.0	0.0	
0;2081;2081;0:1	0.28826392644672794	0.18473570658036678	0.10374562112638103	0.10051199137698734	0.0	0.10056619034780265	0.0	0.0971736204576043	0.0	0.0	
0;2097;2097;0:1	0.28431904503526856	0.19073275862068967	0.10059012875536481	0.10385438972162742	0.0	0.10214477211796247	0.0	0.09601497726664884	0.0	0.0	
0;2178;2178;0:1	0.7978666666666666	0.904	1.0	0.7988797012536677	0.7981333333333334	1.0	0.898903450120353	0.9024	1.0	1.0	
0;2204;2204;0:1	0.19226666666666667	0.09813333333333334	0.0	0.20378767671379033	0.20773333333333333	0.0	0.10430596416154052	0.0957588690317418	0.0	0.0	
0;2295;2295;0:1	0.5054768901950307	0.30373333333333336	0.4	0.2092340539097945	0.2930344275420336	0.406517094017094	0.5002666666666666	0.09959946595460614	0.0	0.0	
0;2439;2439;0:1	0.7948786343024806	0.9005333333333333	1.0	0.8018666666666666	0.7954666666666667	1.0	0.8979155531801176	0.904698344901228	1.0	1.0	
0;2445;2445;0:1	0.29661242998132836	0.20826666666666666	0.10352187833511206	0.198077949813134	0.0	0.0	0.29396044895777657	0.0	0.0	0.0	
0;2523;2523;0:1	0.8003726377428799	0.9002394253790902	1.0	0.7982969664715274	0.7928	1.0	0.9050666666666667	0.9078561917443408	1.0	1.0	
0;3094;3094;0:1	0.3056	0.20773333333333333	0.10856228327554014	0.1032	0.0	0.09413333333333333	0.0	0.0998931623931624	0.0	0.0	
0;3120;3120;0:1	0.20688734650293647	0.10213333333333334	0.2942117898106162	0.0	0.297650827549386	0.39498265278889777	0.20229516946890846	0.10571276027762948	0.0	0.0	
0;3151;3151;0:1	0.0	0.2008	0.20138703654307816	0.09946666666666666	0.20395088093966898	0.2978382706164932	0.18995458188618755	0.30488130168044814	0.8011742727515345	1.0	
0;3381;3381;0:1	0.1928	0.105923159018143	0.30506666666666665	0.0	0.1976	0.4048064085447263	0.20507343124165553	0.09893333333333333	0.0	0.0	
0;3610;3610;0:1	0.0	0.18174431202600216	0.1962742980561555	0.09508373851971907	0.18967846527965415	0.28903295515937333	0.1952998379254457	0.2922411462557448	0.8030136986301369	1.0	
0;3908;3908;0:1	0.0	0.20192051213656975	0.3108324439701174	0.3928	0.2850666666666667	0.20418006430868169	0.2001067235859125	0.39653333333333335	0.19882572724846545	0.0	
0;3978;3978;0:1	0.3045223441263045	0.20985010706638116	0.10106666666666667	0.10136036276340357	0.0	0.09682582021872499	0.0	0.10053333333333334	0.0	0.0	
0;4027;4027;0:1	0.19493333333333332	0.088871096877502	0.29396044895777657	0.0	0.30906666666666666	0.39786666666666665	0.1947635586427999	0.10106666666666667	0.0	0.0	
0;4150;4150;0:1	0.20117395944503735	0.10381638644248732	0.0	0.2064	0.20144076840981856	0.0	0.10613333333333333	0.10354950627168401	0.0	0.0	
0;4329;4329;0:1	0.0	0.0	0.0	0.0	0.0	0.10133333333333333	0.1008	0.10053333333333334	0.40117364630568153	0.3944	
0;4392;4392;0:1	0.0	0.19253333333333333	0.30571886691608763	0.4069425901201602	0.3112122023013112	0.21350413664264745	0.18586666666666668	0.40373333333333333	0.19653333333333334	0.0	
